ID,用語,正式名称,カテゴリ,意味,実務例,関連用語,初登場Day,登録状況
G001,メトリック,-,分析基礎,業務や成果の状態を数値で測るための指標,応答率、AHT、ASA、放棄呼率を追い、改善が必要な場所を判断する,"KPI, データドリブン",,登録済み
G002,KPI,Key Performance Indicator,分析基礎,目標の達成状況を継続的に確認するための重要業績評価指標,応答率やAHTを管理し、センター運営の改善状況を確認する,"メトリック, データドリブン",,登録済み
G003,データドリブン,-,分析基礎,経験や勘だけでなくデータを根拠に意思決定する考え方,問い合わせ件数と応答率を確認し、人員配置を見直す,"メトリック, KPI, データストーリーテリング",,登録済み
G004,データストーリーテリング,-,分析基礎,データ、可視化、業務背景を組み合わせ、相手が判断できる形で伝えること,応答率低下の事実だけでなく原因となった時間帯と改善案まで説明する,"可視化, 示唆, データドリブン",,登録済み
G005,可視化,-,分析基礎,データをグラフや表にして傾向や差を理解しやすくすること,時間帯別問い合わせ件数を横棒グラフで比較する,"データストーリーテリング, レポート",,登録済み
G006,示唆,-,分析基礎,分析結果から読み取れる業務上の意味や次に取るべき行動,午前中の放棄呼率が高いためシフトを厚くする改善案を示す,"データストーリーテリング, KPI",,登録済み
G007,スケーラブル,-,分析基礎,データ量や利用者が増えても対応できるよう拡張可能であること,問い合わせ履歴が増えても処理能力を追加して分析を継続する,"パフォーマンス, クラウド",,登録済み
G008,ETL,"Extract, Transform, Load",分析基礎,データを取得し、使える形に変換し、保存先へ読み込む一連の処理,CTIのCSVを取得し、日付や担当者名を整えて分析用データへ保存する,"Power Query, Pipelines, データフロー",,登録済み
G009,キュレーション,-,分析基礎,目的に合うデータを選び、整理し、信頼できる状態で提供すること,分析担当者向けに承認済みKPIデータだけを公開する,"データ品質, ガバナンス, セマンティックモデル",,登録済み
G010,データ品質,-,分析基礎,データの正確性、完全性、一貫性など分析に使える状態の度合い,問い合わせ種別の表記揺れやAHTの空白を確認する,"列の品質, 列のプロファイル, 表記揺れ",,登録済み
G011,表記揺れ,-,分析基礎,同じ意味の値が異なる文字や書き方で登録されている状態。「表記揺れ」と書かれることもある,電話とTEL、チャットとchatをそれぞれ同じ表記へ統一する,"データ品質, 値の置換",10,登録済み
G012,パフォーマンス,-,分析基礎,レポートやデータ処理がどれだけ速く効率的に動作するか,大量の問い合わせ履歴でもレポートを数秒で表示できるよう最適化する,"パフォーマンスアナライザー, クエリフォールディング, クエリ診断",,登録済み
G013,ボトルネック,-,分析基礎,処理全体の速度を制限している最も遅い箇所,データ結合に時間がかかっていることを診断して改善する,"パフォーマンス, クエリ診断",,登録済み
G014,Power BI,Microsoft Power BI,Power BI,複数のデータを取得、変換、分析、可視化するMicrosoftのBIツール,コールセンターKPIダッシュボードを作成する,"Power BI Desktop, Power BI Service, Power Query, DAX",,登録済み
G015,Power BI Desktop,-,Power BI,PC上でデータ取得、モデル作成、レポート作成を行うアプリケーション,CSVを読み込み、担当者別問い合わせ件数のレポートを作る,"Power BI, Power BI Service, パブリッシュ",,登録済み
G016,Power BI Service,-,Power BI,ブラウザ上でレポートの公開、共有、更新を行うクラウドサービス,管理者向けKPIレポートをワークスペースで共有する,"Power BI Desktop, パブリッシュ, ワークスペース",,登録済み
G017,パブリッシュ,-,Power BI,Power BI Desktopで作成したレポートをPower BI Serviceへ公開すること,KPIダッシュボードを管理者や他部署と共有する,"Power BI Desktop, Power BI Service, ワークスペース, レポート",,登録済み
G018,ワークスペース,-,Power BI,Power BI Serviceでレポートやセマンティックモデルを共同管理する場所,分析チーム用の領域へレポートを公開して共有する,"Power BI Service, パブリッシュ, セマンティックモデル",,登録済み
G019,セマンティックモデル,-,Power BI,利用者が同じ意味と計算ルールで分析できるよう整理したデータモデル,応答率の定義をメジャーとして共通化しレポートごとの計算差を防ぐ,"DAX, メジャー, データモデル, 認定",,登録済み
G020,認定,-,Power BI,組織が信頼できる正式なデータとして承認すること,公式KPIのセマンティックモデルを認定済みにして利用を促す,"セマンティックモデル, ガバナンス",,登録済み
G021,DAX,Data Analysis Expressions,Power BI,Power BIで集計や分析を行うための数式言語,応答率、AHT、ASAなどのKPIを計算する,"メジャー, 計算列, フィルターコンテキスト, CALCULATE",9,登録済み
